q,a,indexes
"request 小程序通用请求","request(options) 是微信小程序HTTP请求封装函数，位于 miniapp/utils/api.js:57。封装 wx.request，支持GET/POST等方法，自动拼接baseUrl，处理JSON Content-Type，HTTP状态码判断，错误自动toast提示（可关闭）。返回Promise。参数：options.url(相对路径), options.method, options.data, options.header, options.showErrorToast。","1. 小程序怎么发请求?
2. request封装怎么用?
3. HTTP请求工具函数
4. wx.request封装"
"uploadFile 小程序文件上传","uploadFile(options) 是微信小程序文件上传封装函数，位于 miniapp/utils/api.js:103。封装 wx.uploadFile，支持multipart/form-data，自动拼接baseUrl，解析JSON响应，错误提示。参数：options.url, options.filePath, options.name(默认file), options.formData。","1. 小程序怎么上传文件?
2. uploadFile封装
3. wx.uploadFile封装"
"getProjects 小程序获取项目列表","getProjects(params) 是小程序获取项目列表的API函数，位于 miniapp/utils/api.js:149。调用 GET /api/projects，支持筛选参数。","1. 小程序怎么获取项目列表?
2. getProjects函数"
"getProjectDetail 小程序获取项目详情","getProjectDetail(id) 是小程序获取项目详情的API函数，位于 miniapp/utils/api.js:156。调用 GET /api/projects/{id}。","1. 小程序怎么获取项目详情?
2. getProjectDetail函数"
"createProject 小程序创建项目","createProject(data) 是小程序创建项目的API函数，位于 miniapp/utils/api.js:227。调用 POST /api/projects。","1. 小程序怎么创建项目?
2. createProject函数"
"updateProject 小程序更新项目","updateProject(projectId, data) 是小程序更新项目的API函数，位于 miniapp/utils/api.js:235。调用 PATCH /api/projects/{id}。","1. 小程序怎么更新项目?
2. updateProject函数"
"uploadRectifyPhoto 小程序上传整改照片","uploadRectifyPhoto(hazardId, filePath) 是小程序上传整改照片的API函数，位于 miniapp/utils/api.js:171。调用 POST /api/hazards/{id}/rectify-photo。","1. 小程序怎么上传整改照片?
2. uploadRectifyPhoto函数"
"uploadScenePhoto 小程序上传现场照片","uploadScenePhoto(projectId, photoType, filePath) 是小程序上传现场照片的API函数，位于 miniapp/utils/api.js:179。调用 POST /api/projects/{id}/scene-photo。","1. 小程序怎么上传现场照片?
2. uploadScenePhoto函数"
"getHazardPhotoUrl 隐患照片URL","getHazardPhotoUrl(projectId, hazardId) 是小程序获取隐患照片完整URL的函数，位于 miniapp/utils/api.js:191。拼接 baseUrl + /api/projects/{projectId}/hazard-photo/{hazardId}，供image组件src使用。","1. 隐患照片URL怎么拼?
2. getHazardPhotoUrl函数"
"downloadImage 下载远程图片","downloadImage(url) 是小程序下载远程图片到本地临时路径的函数，位于 miniapp/utils/api.js:202。封装 wx.downloadFile，解决真机image组件无法加载HTTP图片的问题。返回 tempFilePath。","1. 小程序怎么下载远程图片?
2. downloadImage函数
3. 真机图片加载问题"
"addHazard 小程序添加隐患","addHazard(projectId, data) 是小程序添加隐患的API函数，位于 miniapp/utils/api.js:252。调用 POST /api/projects/{projectId}/hazards。","1. 小程序怎么添加隐患?
2. addHazard函数"
"updateHazard 小程序编辑隐患","updateHazard(hazardId, data) 是小程序编辑隐患的API函数，位于 miniapp/utils/api.js:260。调用 PATCH /api/hazards/{id}。","1. 小程序怎么编辑隐患?
2. updateHazard函数"
"deleteHazard 小程序删除隐患","deleteHazard(hazardId) 是小程序删除隐患的API函数，位于 miniapp/utils/api.js:268。调用 DELETE /api/hazards/{id}。","1. 小程序怎么删除隐患?
2. deleteHazard函数"
"getDetections 小程序查询检测记录","getDetections(projectId, detectionType) 是小程序查询检测记录的API函数，位于 miniapp/utils/api.js:283。调用 GET /api/projects/{id}/detections。","1. 小程序怎么查询检测记录?
2. getDetections函数"
"addDetection 小程序添加检测记录","addDetection(projectId, data) 是小程序添加检测记录的API函数，位于 miniapp/utils/api.js:288。调用 POST /api/projects/{id}/detections。","1. 小程序怎么添加检测记录?
2. addDetection函数"
"getChecklist 小程序查询附表","getChecklist(projectId, tableIndex) 是小程序查询附表检测结果的API函数，位于 miniapp/utils/api.js:320。调用 GET /api/projects/{id}/checklist。","1. 小程序怎么查询附表?
2. getChecklist函数"
"updateChecklist 小程序更新附表","updateChecklist(projectId, items) 是小程序批量更新附表检测结果的API函数，位于 miniapp/utils/api.js:325。调用 PATCH /api/projects/{id}/checklist。","1. 小程序怎么更新附表?
2. updateChecklist函数"
"initChecklist 小程序初始化附表","initChecklist(projectId) 是小程序初始化附表默认值的API函数，位于 miniapp/utils/api.js:332。调用 POST /api/projects/{id}/init-checklist。","1. 小程序怎么初始化附表?
2. initChecklist函数"
"getInspectors 小程序查询核销人员","getInspectors(street) 是小程序查询核销人员列表的API函数，位于 miniapp/utils/api.js:339。调用 GET /api/inspectors。","1. 小程序怎么查询核销人员?
2. getInspectors函数"
"addInspector 小程序添加核销人员","addInspector(name, street) 是小程序添加核销人员的API函数，位于 miniapp/utils/api.js:344。调用 POST /api/inspectors。","1. 小程序怎么添加核销人员?
2. addInspector函数"
"setBaseUrl 设置API基地址","setBaseUrl(url) 是小程序设置API基础地址的函数，位于 miniapp/utils/api.js:10。默认值为线上地址，app.js onLaunch时调用设置为 globalData.baseUrl。","1. 小程序API地址怎么配置?
2. setBaseUrl函数
3. baseUrl怎么设置?"
"buildQuery 构建查询参数","buildQuery(params) 是小程序URL查询参数构建函数，位于 miniapp/utils/api.js:18。将对象转换为 ?key=value&key2=value2 格式的查询字符串，自动编码和过滤null/undefined。","1. 查询参数怎么拼接?
2. buildQuery函数"
"failHint 错误提示分类","failHint(errMsg) 是小程序网络错误提示分类函数，位于 miniapp/utils/api.js:34。根据错误信息模式匹配返回：域名未配置、HTTPS证书异常、请求超时、网络异常等中文提示。","1. 网络错误提示怎么分类?
2. failHint函数
3. 域名未配置提示"
"applyWatermark 添加水印","applyWatermark(tempFilePath, options) 是小程序水印叠加函数，位于 miniapp/utils/watermark.js:167。加载图片→创建离屏canvas(最大1920px)→绘制原图→叠加水印(drawWatermark)→导出JPEG(质量0.92)。options包含orgName(机构名)、time(拍摄时间)、location(地点)、project(项目名)。调用链：applyWatermark → wx.getImageInfo → createOffscreenCanvas → drawWatermark → canvasToTempFilePath。","1. 小程序怎么加水印?
2. applyWatermark函数
3. 照片水印怎么加?
4. 水印参数有哪些?"
"drawWatermark 绘制水印","drawWatermark(canvas, ctx, cW, cH, opts, logoImage) 是小程序水印绘制核心函数，位于 miniapp/utils/watermark.js:65。三段式布局：顶部蓝底logo+白字机构名，中部白底黑字拍摄时间/地点，底部蓝底白字项目名。支持自适应缩放和地点文字自动换行(每行20字符)。","1. 水印怎么绘制?
2. drawWatermark函数
3. 三段式水印布局
4. 水印样式说明"
"compressPhoto 小程序图片压缩","compressPhoto(srcPath) 是小程序图片压缩函数，位于 miniapp/utils/compress.js:15。策略：长边>1920px时用canvas缩放+JPEG重编码(质量0.82)，长边≤1920px仅做JPEG quality压缩(质量80)。返回Promise<压缩后临时路径>。调用链：compressPhoto → wx.getImageInfo → createOffscreenCanvas(大图) / _qualityCompress(小图) → canvasToTempFilePath。","1. 小程序怎么压缩图片?
2. compressPhoto函数
3. 图片压缩策略
4. 拍照后怎么压缩?"
"_qualityCompress 质量压缩","_qualityCompress(src, resolve, reject) 是小程序质量压缩内部函数，位于 miniapp/utils/compress.js:62。调用 wx.compressImage 以质量80进行压缩，失败时返回原图。","1. _qualityCompress函数
2. wx.compressImage封装"
"onTakePhoto 拍照处理","onTakePhoto() 是相机页面拍照按钮事件处理函数，位于 miniapp/pages/camera/camera.js:261。调用微信相机API拍照后进入 _processPhoto 处理流程。","1. 拍照按钮怎么处理?
2. onTakePhoto函数
3. 相机页拍照逻辑"
"_processPhoto 照片处理流程","_processPhoto(rawPath) 是相机页面照片后处理函数，位于 miniapp/pages/camera/camera.js:296。处理流程：裁剪图片(_cropImage) → 添加水印(applyWatermark) → 压缩(compressPhoto)。水印参数从当前项目信息和实时时间/位置获取。","1. 拍照后怎么处理照片?
2. _processPhoto函数
3. 裁剪→水印→压缩流程"
"_cropImage 图片裁剪","_cropImage(srcPath) 是相机页面图片裁剪函数，位于 miniapp/pages/camera/camera.js:194。使用离屏canvas按照预设裁剪比例裁剪图片。","1. 图片怎么裁剪?
2. _cropImage函数"
"onConfirmUpload 确认上传","onConfirmUpload() 是相机页面确认上传按钮事件处理函数，位于 miniapp/pages/camera/camera.js:376。将处理完成的照片上传到服务器，根据照片类型(场景照/整改照)调用不同的API。","1. 确认上传怎么触发?
2. onConfirmUpload函数
3. 相机页上传逻辑"
"loadProjects 加载项目列表(小程序)","loadProjects() 是首页项目列表加载函数，位于 miniapp/pages/index/index.js:186。调用 getProjects API获取数据，通过 enrichProject 添加派生字段，支持搜索过滤(filterProjects)、街道分组(groupByStreet)和来源文件分组(extractSourceFiles)。","1. 首页怎么加载项目?
2. loadProjects函数
3. 项目列表数据怎么来的?"
"loadDetail 加载项目详情(小程序)","loadDetail() 是项目详情页数据加载函数，位于 miniapp/pages/project/project.js:83。调用 getProjectDetail 获取详情后，加载隐患照片缩略图(_loadImages)、核销人员列表(_loadInspectorList)。","1. 项目详情页怎么加载?
2. loadDetail函数"
"loadData 加载隐患详情(小程序)","loadData() 是隐患详情页数据加载函数，位于 miniapp/pages/hazard/hazard.js:68。调用 getProjectDetail 获取项目数据，提取当前隐患信息，加载隐患照片和整改照片的本地缓存。","1. 隐患详情怎么加载?
2. hazard页loadData函数"
"loadRecords 加载检测记录(小程序)","loadRecords() 是检测记录页数据加载函数，位于 miniapp/pages/detection/detection.js:53。根据当前选中的检测类型tab调用 getDetections API，加载照片缩略图(_loadThumbs)。","1. 检测记录怎么加载?
2. detection页loadRecords函数"
"_init 初始化附表(小程序)","_init() 是附表检测页初始化函数，位于 miniapp/pages/checklist/checklist.js:40。调用 initChecklist 初始化默认值，然后调用 loadItems 加载数据。","1. 附表页怎么初始化?
2. checklist页_init函数"
"migrate 数据库迁移","migrate() 是数据库迁移脚本的主函数，位于 backend/migrate.py:26。为文体项目扩展添加新字段(project_type, report_code, area等)和新表(detection_records, checklist_results, inspectors, generated_docs)。使用 get_existing_columns 和 get_existing_tables 检测已有结构避免重复迁移。","1. 数据库怎么迁移?
2. migrate函数
3. 新增字段怎么添加?
4. 数据库迁移脚本"
"_fix_exif_orientation EXIF方向校正","_fix_exif_orientation(image_path) 是图片EXIF方向校正函数，位于 backend/services/doc_generator.py:73。检查EXIF旋转标签(0x0112)，如果不是正常方向则使用ImageOps.exif_transpose校正，保存到临时文件。返回 (路径, 宽, 高)。用于Word文档插入图片前的预处理。","1. EXIF方向怎么校正?
2. 图片旋转怎么处理?
3. _fix_exif_orientation"
"_parse_contact_cell 解析联系人单元格","_parse_contact_cell(c4_text, info) 是Excel联系人信息解析函数，位于 backend/services/excel_parser.py:54。从C4单元格文本中用正则提取地址、联系人、联系电话三个字段，写入info字典。","1. 联系人信息从哪解析?
2. _parse_contact_cell函数
3. C4单元格怎么解析?"
"_parse_project_info 解析项目信息","_parse_project_info(c1_text, c4_text) 是Excel项目信息解析函数，位于 backend/services/excel_parser.py:70。从C1解析项目名称、建设单位、施工单位、监理单位，从C4解析地址/联系人/电话。用于建筑施工格式的Excel。","1. 项目信息怎么从Excel解析?
2. _parse_project_info函数
3. C1和C4单元格内容"
"_read_hazard_rows 读取隐患数据行","_read_hazard_rows(ws, start_row, max_row, image_map) 是Excel隐患数据行读取函数，位于 backend/services/excel_parser.py:275。从指定行开始连续读取隐患数据（序号、类型、描述、风险、类别、依据、备注），通过 _find_photo_for_row 关联照片。返回 (hazards列表, 下一行号)。","1. 隐患行怎么读取?
2. _read_hazard_rows函数
3. Excel隐患数据格式"
"_detect_category_from_title 检测项目类别","_detect_category_from_title(ws, max_scan) 是Excel标题行类别检测函数，位于 backend/services/excel_parser.py:264。扫描前几行查找""九小场所""或""建筑施工""关键词，确定Excel文件的项目类别。","1. 怎么判断Excel是什么类型?
2. _detect_category_from_title
3. 九小场所还是建筑施工"
"系统架构概览","安全隐患检查自动化系统采用前后端分离架构：后端 FastAPI(Python) + SQLite，前端微信小程序。核心流程：1)上传Excel台账(upload_excel)→解析项目和隐患数据(parse_excel/parse_wenti_excel)→写入数据库；2)小程序拍照(相机页)→添加水印(applyWatermark)→压缩(compressPhoto)→上传照片(uploadRectifyPhoto等)；3)生成Word文档(generate_document/generate_wenti_document)→下载。支持两种项目类型：龙华(longhua)建筑施工安全检查、文体(wenti)场所消防检测。","1. 系统整体架构是什么?
2. 项目怎么运作的?
3. 前后端怎么交互?
4. 核心业务流程
5. 系统有哪些功能?"
"数据库表关系","系统共8张表：projects(项目) ←1:N→ hazards(隐患) / scene_photos(现场照片) / detection_records(检测记录) / checklist_results(附表结果)；hazard_templates(隐患模板库，独立)；inspectors(核销人员，独立)；generated_docs(生成文档记录，关联project)。所有项目关联表都配置了级联删除(cascade=all,delete-orphan)。","1. 数据库有哪些表?
2. 表之间什么关系?
3. 级联删除怎么配的?
4. ER图怎么画?"
"API路由总览","所有API路由前缀 /api，定义在 backend/routers/projects.py。主要路由组：项目CRUD(GET/POST/PATCH/DELETE /projects)、隐患管理(/hazards)、照片上传下载(scene-photo/rectify-photo/hazard-photo)、文档生成下载(generate/download)、检测记录(/detections)、附表(/checklist)、核销人员(/inspectors)、隐患模板(/hazard-templates)、街道和分类列表(/streets, /categories)、Excel导入(/upload-excel)。","1. API有哪些路由?
2. 接口总览
3. 路由前缀是什么?
4. 有多少个API?"
"文件存储结构","文件存储在 backend/uploads/ 下：excel/(上传的Excel)、hazard_photos/(隐患照片)、rectify_photos/(整改照片)、scene_photos/(现场照片)、detection_photos/(检测照片)、generated/(生成的Word文档)。模板文件在 backend/templates/ 下：template.docx(龙华模板)、template_wenti.docx(文体模板)。配置在 backend/config.py 中定义。","1. 文件存在哪?
2. 上传目录结构
3. 模板文件在哪?
4. Word模板路径"
"小程序页面结构","微信小程序共8个页面：index(首页/项目列表)、project(项目详情)、camera(拍照/水印)、hazard(隐患详情/整改)、create-project(创建项目)、template-select(选择隐患模板)、detection(检测记录)、checklist(附表检测结果)。工具模块：api.js(HTTP封装)、watermark.js(水印)、compress.js(压缩)。","1. 小程序有哪些页面?
2. 页面结构
3. 各页面功能是什么?
4. 工具模块有哪些?"
"admin.html PC管理端页面","admin.html 是PC端管理后台的单页面应用(SPA)，位于 backend/static/admin.html，共约1450行。使用纯HTML/CSS/JS实现，无框架依赖。包含5个功能模块：工作台(dashboard)、上传清单(upload)、项目管理(projects)、隐患模板库(templates)、人员管理(inspectors)。左侧深色侧边栏+右侧内容区布局。右上角类型切换按钮支持龙华/文体切换。","1. PC管理端在哪里?
2. admin.html怎么实现的?
3. 管理后台有哪些模块?
4. PC端用了什么框架?
5. 后台管理页面结构"
"admin.html CSS设计系统","admin.html 使用CSS变量定义设计系统，位于 backend/static/admin.html <style>标签。配色方案：primary(#6366f1靛蓝)、success(#10b981绿)、warning(#f59e0b琥珀)、danger(#ef4444红)。组件样式：.card(圆角卡片带阴影)、.badge(状态徽标带圆点)、.btn(6种按钮变体)、.stat-card(4色统计卡片带渐变背景)、.progress(进度条带渐变填充)、.upload-zone(拖拽上传区虚线边框)、.modal-overlay(模态框毛玻璃背景)、.tabs(胶囊Tab切换)、.toast(右上角弹出通知)。","1. PC端设计系统
2. CSS变量有哪些?
3. 配色方案是什么?
4. 有哪些UI组件?
5. admin.html样式说明"
"admin.html 侧边栏(sidebar)","admin.html 侧边栏使用深色渐变背景(#1e1b4b→#312e81)，包含5个导航项：工作台、上传清单、项目管理、隐患模板库、人员管理。模板库仅文体模式可见，人员管理仅龙华模式可见。每项有SVG图标+文字，激活状态左侧紫色指示条(.sidebar-item.active::before)。底部用户信息区。CSS类：.sidebar(260px宽)、.sidebar-logo、.sidebar-nav、.sidebar-item、.sidebar-footer。","1. 侧边栏怎么实现的?
2. 导航菜单有哪些?
3. sidebar样式
4. 侧边栏深色主题
5. 龙华和文体模式菜单区别"
"admin.html 工作台(dashboard)","renderDashboard() 是PC端工作台页面渲染函数。顶部4色统计卡片(项目总数/已完成/进行中/待处理)带渐变背景和图标。中间2列布局：左侧各街道进度条(.progress-fill)、右侧圆环图(SVG circle)显示照片上传百分比。底部街道筛选按钮组+最近项目表格(名称/类型/街道/状态/隐患/进度/操作)。进度条使用CSS渐变(var(--primary)→#a78bfa)。","1. 工作台页面怎么布局的?
2. 统计卡片怎么实现?
3. dashboard有什么内容?
4. 圆环图怎么画的?
5. 进度条样式"
"admin.html 上传清单(upload)","renderUpload() 是PC端上传页面渲染函数。核心组件：.upload-zone 拖拽上传区(虚线边框+渐变背景+上传图标)，支持点击和拖拽两种方式。上传时显示loading动画，成功后显示4色结果统计卡片(项目数/隐患记录/隐患照片/街道)和详细项目列表表格。initUploadZone() 绑定拖拽事件(dragover/dragleave/drop)和文件选择。uploadFile() 处理FormData上传和进度显示。","1. 上传页面怎么实现的?
2. 拖拽上传怎么做的?
3. 上传成功后显示什么?
4. upload-zone样式
5. 文件上传流程"
"admin.html 项目管理(projects)","renderProjects() 是PC端项目管理页面渲染函数。左侧来源文件分组侧边栏(260px，.sf-sidebar)显示每个Excel文件名及完成进度。右侧项目卡片列表(renderProjectCard)，每张卡片包含：复选框+项目名+状态徽标+类型标签+地址+隐患数+照片进度条。顶部筛选栏：全选/搜索/街道/状态/类别下拉+新建/批量删除/重新提取照片/批量生成ZIP按钮。底部分页组件(renderPagination，每页20条)。","1. 项目管理页面怎么布局?
2. 项目卡片怎么渲染?
3. 来源文件分组怎么实现?
4. 分页组件
5. 筛选功能有哪些?"
"admin.html 项目详情弹窗(modal)","showDetail(id)+renderDetailModal(p) 实现PC端项目详情模态弹窗。弹窗样式：圆角20px、毛玻璃遮罩、缩放进入动画。内容：顶部项目名+地址、信息网格(3列)显示各字段(renderInfoCell)、Tab切换(隐患列表/现场照片)。隐患列表为表格形式显示序号/类型/描述/风险/照片/状态。照片区按门面/廉政卡/许可证分组、隐患代表照片网格、整改照片网格(.photo-grid)。","1. 项目详情弹窗怎么实现?
2. 模态框样式
3. 详情弹窗包含什么?
4. showDetail函数
5. 照片网格布局"
"admin.html 隐患模板库(templates)","renderTemplates() 是PC端隐患模板库页面渲染函数（文体模式专用）。顶部导入区：文件选择+导入按钮(uploadTemplateFile)。列表区：搜索框+分类Tab切换+表格(序号/分类/描述/建议/标准/操作)。新增/编辑模态弹窗(openTplForm)：分类下拉+新分类输入、序号、隐患描述、整改建议、依据标准、标准条款6个表单字段。支持搜索过滤(templateSearchKw)。","1. 模板库页面怎么实现?
2. 模板管理界面
3. 新增模板表单有哪些字段?
4. templates页面
5. 模板搜索和分类"
"admin.html 人员管理(inspectors)","renderInspectors() 是PC端人员管理页面渲染函数（龙华模式专用）。按A/B两组分显示，每组一个卡片：组名+负责街道+人数统计+添加按钮。表格显示ID/姓名/分组/删除。顶部2色统计卡片(蓝色1组/绿色2组)。openAddInspector(group) 使用prompt弹窗输入姓名。组定义：A组=观澜/观湖/福城，B组=大浪/民治/龙华。","1. 人员管理页面怎么实现?
2. A组B组怎么展示?
3. inspectors页面
4. 添加核销人员界面"
"admin.html JS核心函数","admin.html 的前端JS包含以下核心函数：api(url,options)=fetch封装(自动prefixUrl)、render()=按curPage路由渲染、switchPage(p)=导航切换(更新sidebar激活态)、loadAll()=并行加载项目/街道/文档/分类、showToast(msg,type)=右上角通知(3秒消失)、esc(s)=HTML转义(createElement+textContent)、statusBadge(s)=状态徽标HTML、pct()=百分比计算。搜索使用中文输入法兼容(compositionstart/end)和防抖(300ms)。","1. admin.html有哪些JS函数?
2. 前端路由怎么实现的?
3. API请求怎么封装的?
4. 搜索防抖怎么做的?
5. Toast通知怎么实现?"
"admin.html 文档生成和下载","generateDoc(id) 和 downloadDoc(projectId) 实现PC端文档生成和下载。generateDoc 调用 POST /api/projects/{id}/generate，生成中按钮显示loading spinner(14px)。batchGenerate() 批量生成：使用Promise.allSettled并行处理选中项目，统计成功/失败数。downloadDoc 通过window.open新窗口打开下载链接。batchDeleteProjects() 批量删除选中项目。","1. PC端怎么生成文档?
2. 批量生成怎么实现?
3. 文档下载怎么触发?
4. generateDoc函数
5. 批量操作按钮"
"admin.html 创建龙华项目弹窗","showCreateLonghua()+submitCreateLonghua() 实现PC端手动创建龙华项目的模态弹窗。表单字段：项目名称(必填)、街道(6个固定选项下拉)、地址、负责人、电话、建设单位、施工单位、监理单位、检查日期。街道列表：观澜/观湖/福城/民治/龙华/大浪(LH_STREETS常量)。提交后调用 POST /api/projects。","1. PC端怎么新建项目?
2. 创建项目弹窗
3. showCreateLonghua函数
4. 龙华项目手动创建"
"admin.html 类型切换","initProjectType()+selectProjectType(type)+openTypeSwitch()+updateTypeUI() 实现PC端龙华/文体项目类型切换。首次访问显示选择弹窗(typeSelectModal)，选择后保存到localStorage。右上角切换按钮(typeSwitchBtn)一键切换，龙华=绿色(#ecfdf5)、文体=紫色(#faf5ff)。切换后隐藏/显示对应菜单项(模板库vs人员管理)。","1. 项目类型怎么切换?
2. 龙华文体切换按钮
3. initProjectType函数
4. 类型选择弹窗
5. localStorage存储类型"
"app.wxss 全局样式","app.wxss 是小程序全局样式文件，位于 miniapp/app.wxss。定义CSS变量：--primary(#6366f1)、--primary-light(#eef2ff)、--success(#10b981)、--warning(#f59e0b)、--danger(#ef4444)、--bg(#f8fafc)、--card(#ffffff)、--text(#0f172a)、--text2(#64748b)、--text3(#94a3b8)、--border(#e2e8f0)、--radius(32rpx)、--radius-sm(24rpx)。全局字体：-apple-system, PingFang SC, Microsoft YaHei。全局box-sizing: border-box。","1. 小程序全局样式在哪?
2. CSS变量定义
3. app.wxss内容
4. 小程序配色方案
5. 全局字体设置"
"index.wxml 首页模板","index.wxml 是小程序首页(项目列表)的WXML模板文件，位于 miniapp/pages/index/index.wxml。结构：首次选择弹窗(type-modal-mask)→顶部栏(top-bar：标题+新建+切换按钮)→搜索栏(search-bar：放大镜图标+input)→街道筛选栏(street-filter-bar：scroll-view横向滚动tag)→主体(main-body)=左侧来源文件侧边栏(source-sidebar)+右侧项目列表(project-list)。项目卡片(project-card)包含：名称+状态tag+地址+联系人+进度条。","1. 首页WXML结构
2. 项目列表页面模板
3. index.wxml组件
4. 首页有哪些UI元素?
5. 搜索栏和筛选栏"
"index.wxss 首页样式","index.wxss 是小程序首页样式文件，位于 miniapp/pages/index/index.wxss。核心样式：.page-index(全高布局)、.top-bar(flex居中分布)、.type-modal-mask(固定定位遮罩)、.search-bar(白背景圆角搜索框)、.street-filter-bar(横向滚动标签)、.main-body(flex左右分栏，高度calc(100vh-260rpx))、.source-sidebar(200rpx宽侧边栏)、.project-card(白色圆角卡片带阴影，:active缩放0.97)、.tag(状态标签带圆点伪元素)、.progress-bg/.progress-fill(10rpx高进度条)。","1. 首页样式怎么写的?
2. index.wxss样式说明
3. 项目卡片样式
4. 状态标签样式
5. 进度条样式"
"project.wxml 项目详情模板","project.wxml 是小程序项目详情页的WXML模板文件，位于 miniapp/pages/project/project.wxml。结构：项目信息卡片(project-card，编辑/只读两态)→现场照片区(scene-grid：门面/廉政卡或门面/执照/许可证/记录表)→隐患列表(hazard-card循环)→文体专属：电气防火检测导航卡(nav-card)→附表检测结果导航卡。编辑态使用textarea/input表单，核销人员使用picker选择器+新增按钮。底部状态栏(footer-bar)。","1. 项目详情页WXML结构
2. project.wxml组件
3. 现场照片区怎么布局?
4. 隐患卡片结构
5. 编辑信息表单"
"project.wxss 项目详情样式","project.wxss 是小程序项目详情页样式文件，位于 miniapp/pages/project/project.wxss。核心样式：.page(浅灰背景+底部160rpx留白)、.card(白色圆角12rpx带阴影)、.project-title(34rpx粗体)、.row/.label/.value(表单行布局)、.scene-grid(flex wrap，50%宽照片槽)、.scene-inner(宽高比75%/166.67%)、.hazard-card(隐患卡片)、.hazard-thumb(160rpx正方形缩略图)、.footer-bar(固定底部带safe-area)、.btn-edit(紫色按钮)、.edit-row(编辑表单行)、.picker-wrap(选择器行)。","1. 项目详情页样式
2. project.wxss说明
3. 照片格子样式
4. 隐患缩略图样式
5. 底部状态栏样式"
"hazard.wxml 隐患详情模板","hazard.wxml 是小程序隐患详情页的WXML模板文件，位于 miniapp/pages/hazard/hazard.wxml。结构：状态栏(龙华模式才显示，可点击切换整改状态)→信息卡片(编辑/只读两态：检查项目/隐患描述/整改建议/风险等级/依据标准/备注)→照片卡片(photo-card：左隐患照片+右整改照片，各带拍照/重新拍照按钮)。编辑态(editingHazard)使用input/textarea表单，备注编辑独立区域(remark-section)。","1. 隐患详情页WXML结构
2. hazard.wxml组件
3. 隐患信息展示
4. 照片上传区域
5. 整改状态切换"
"hazard.wxss 隐患详情样式","hazard.wxss 是小程序隐患详情页样式文件，位于 miniapp/pages/hazard/hazard.wxss。核心样式：.status-tag(整改状态标签+圆点伪元素)、.seq(36rpx紫色大号序号)、.type-tag(紫色背景标签)、.desc(30rpx描述文字)、.info-row(信息行+分隔线)、.risk-low/mid/high(风险等级配色)、.photo-img(360rpx高照片)、.upload-dashed(虚线框上传区+:active紫色高亮)、.remark-input(备注输入框2rpx紫色边框)、.btn-remark(备注操作按钮组)、.edit-section(编辑表单区)。","1. 隐患详情页样式
2. hazard.wxss说明
3. 状态标签样式
4. 照片上传区域样式
5. 风险等级配色"
"camera.wxml 相机页模板","camera.wxml 是小程序相机/拍照页的WXML模板文件，位于 miniapp/pages/camera/camera.wxml。两个视图状态：拍照模式(camera-page)和预览模式(preview-page)。拍照模式：全屏camera组件+裁剪遮罩(上下或左右，半透明)、取景框边框(crop-border)、竖屏提示、底部操作区(shutter-area：翻转/快门/相册)。预览模式：水印后图片(aspectFit)+底部按钮(重新拍照/使用此照片)。水印时间选择弹框(picker-dialog：日期picker+时间picker)。上传loading遮罩。离屏canvas用于裁剪。","1. 相机页面WXML结构
2. camera.wxml组件
3. 裁剪遮罩怎么实现?
4. 快门按钮布局
5. 时间选择弹框
6. 水印预览"
"camera.wxss 相机页样式","camera.wxss 是小程序相机页样式文件，位于 miniapp/pages/camera/camera.wxss。全黑背景设计。核心样式：.camera-full(全屏camera)、.crop-mask-top/bottom/left/right(纯黑或半透明遮罩)、.crop-border(白色半透明边框线)、.shutter-outer/.shutter-inner(快门按钮：44px外圈白边+32px内圆白色)、.icon-flip(翻转按钮纯CSS箭头)、.icon-album(相册按钮方框+圆形)、.preview-page(黑底flex列布局)、.action-btn(44px高圆角按钮)、.action-primary(蓝色#2563eb)、.picker-dialog(暗色弹框#1e1e1e)、.loading-mask/.loading-spinner(旋转加载动画)。","1. 相机页样式
2. camera.wxss说明
3. 快门按钮样式
4. 裁剪遮罩样式
5. 预览页面布局
6. 暗色时间弹框"
"detection.wxml 检测记录模板","detection.wxml 是小程序检测记录页的WXML模板文件，位于 miniapp/pages/detection/detection.wxml。左右分栏布局：左侧tab-bar纵向滚动(9种检测类型)、右侧body-content。记录卡片(record-card)：位置+结果标签(符合/不符合配色)+红外专属字段(编号/温度)+接地电阻专属字段(电阻Ω)+照片缩略图+操作按钮(编辑/拍照/删除)。新增/编辑表单(form-card)：位置+按类型动态字段+检测结果选择器(符合/不符合///-)。","1. 检测记录页面WXML结构
2. detection.wxml组件
3. 检测类型tab布局
4. 检测结果选择器
5. 红外/接地电阻表单"
"detection.wxss 检测记录样式","detection.wxss 是小程序检测记录页样式文件，位于 miniapp/pages/detection/detection.wxss。核心样式：.page(100vh flex列)、.body-wrap(flex左右分栏)、.tab-bar(160rpx宽左侧导航)、.tab-active(紫色#6366f1背景)、.record-card(白色卡片带阴影)、.result-pass(绿色背景标签)、.result-fail(红色背景标签)、.record-thumb(200×150rpx缩略图)、.record-thumb-empty(虚线框+拍照文字)、.btn-sm(小号按钮3色)、.result-pick(检测结果选择圆角按钮)、.pick-active(紫色激活态)、.pick-fail(红色激活态)。","1. 检测记录页样式
2. detection.wxss说明
3. 左侧tab栏样式
4. 检测结果按钮样式
5. 缩略图样式"
